15,4,1,1,18,571,1,d,I
15,4,1,1,18,571,2,b,C
15,4,1,1,18,571,3,c,C
15,4,1,1,18,571,4,c,I
15,4,1,1,18,571,5,a,I
15,4,1,1,18,571,6,d,I
15,4,1,1,18,571,7,b,I
15,4,1,1,18,571,8,a,I
15,4,1,1,18,571,9,d,C
15,4,1,1,18,571,10,c,I
15,4,1,1,18,571,11,c,I
15,4,1,1,18,571,12,c,I
15,4,1,1,18,571,13,c,I
15,4,1,1,18,571,14,c,I
15,4,1,1,18,571,15,b,I
15,4,1,1,18,571,16,a,I
15,4,1,1,18,571,17,c,C
15,4,1,1,18,571,18,d,I
15,4,1,1,18,571,19,d,I
15,4,1,1,18,571,20,d,C
15,4,1,1,18,571,21,c,I
15,4,1,1,18,571,22,a,I
15,4,1,1,18,571,23,c,P
15,4,1,1,18,571,24,d,P
15,4,1,1,18,571,25,d,C
15,4,1,1,18,571,26,a,I
15,4,1,1,18,571,27,c,I
15,4,1,1,18,571,28,a,I
15,4,1,1,18,571,29,b,C
15,4,1,1,18,571,30,b,C
15,4,1,1,18,571,31,b,I
15,4,1,1,18,571,32,c,I
15,4,1,1,18,571,33,b,C
15,4,1,1,18,571,34,d,I
15,4,1,1,18,571,35,c,I
15,4,1,1,18,571,36,a,I
15,4,1,1,18,571,37,a,I
15,4,1,1,18,571,38,a,C
15,4,1,1,18,571,39,c,I
15,4,1,1,18,571,40,a,I
15,4,1,1,18,571,41,d,I
15,4,1,1,18,571,42,a,I
15,4,1,1,18,571,43,a,I
15,4,1,1,18,571,44,b,I
15,4,1,1,18,571,45,a,P
15,4,1,1,18,571,46,c,P
15,4,1,1,18,571,47,d,I
15,4,1,1,18,571,48,c,C
15,4,1,1,18,571,49,b,I
15,4,1,1,18,571,50,b,I
15,4,1,1,18,571,51,b,I
15,4,1,1,18,571,52,b,I
15,4,1,1,18,571,53,c,I
15,4,1,1,18,571,54,d,C
15,4,1,1,18,571,55,b,I
15,4,1,1,18,571,56,a,I
15,4,1,1,18,571,57,c,C
15,4,1,1,18,571,58,c,C
15,4,1,1,18,571,59,d,I
15,4,1,1,18,571,60,a,I
15,4,1,1,18,571,61,c,C
15,4,1,1,18,571,62,a,I
15,4,1,1,18,571,63,d,C
15,4,1,1,18,571,64,b,C
15,4,1,1,18,571,65,b,I
15,4,1,1,18,571,66,b,I
15,4,1,1,18,571,67,c,C
15,4,1,1,18,571,68,c,P
15,4,1,1,18,571,69,b,P
27,4,1,1,21,600,1,d,I
27,4,1,1,21,600,2,b,C
27,4,1,1,21,600,3,d,I
27,4,1,1,21,600,4,c,I
27,4,1,1,21,600,5,c,C
27,4,1,1,21,600,6,b,I
27,4,1,1,21,600,7,d,I
27,4,1,1,21,600,8,c,C
27,4,1,1,21,600,9,d,C
27,4,1,1,21,600,10,b,C
27,4,1,1,21,600,11,b,I
27,4,1,1,21,600,12,c,I
27,4,1,1,21,600,13,c,I
27,4,1,1,21,600,14,b,C
27,4,1,1,21,600,15,b,I
27,4,1,1,21,600,16,a,I
27,4,1,1,21,600,17,c,C
27,4,1,1,21,600,18,c,I
27,4,1,1,21,600,19,d,I
27,4,1,1,21,600,20,a,I
27,4,1,1,21,600,21,c,I
27,4,1,1,21,600,22,a,I
27,4,1,1,21,600,23,c,P
27,4,1,1,21,600,24,b,P
27,4,1,1,21,600,25,c,I
27,4,1,1,21,600,26,a,I
27,4,1,1,21,600,27,d,I
27,4,1,1,21,600,28,d,C
27,4,1,1,21,600,29,b,C
27,4,1,1,21,600,30,a,I
27,4,1,1,21,600,31,a,I
27,4,1,1,21,600,32,b,I
27,4,1,1,21,600,33,b,C
27,4,1,1,21,600,34,d,I
27,4,1,1,21,600,35,b,I
27,4,1,1,21,600,36,a,I
27,4,1,1,21,600,37,b,C
27,4,1,1,21,600,38,c,I
27,4,1,1,21,600,39,c,I
27,4,1,1,21,600,40,b,C
27,4,1,1,21,600,41,b,I
27,4,1,1,21,600,42,d,I
27,4,1,1,21,600,43,d,C
27,4,1,1,21,600,44,c,C
27,4,1,1,21,600,45,a,P
27,4,1,1,21,600,46,b,P
27,4,1,1,21,600,47,b,I
27,4,1,1,21,600,48,d,I
27,4,1,1,21,600,49,a,C
27,4,1,1,21,600,50,d,C
27,4,1,1,21,600,51,a,I
27,4,1,1,21,600,52,c,C
27,4,1,1,21,600,53,c,I
27,4,1,1,21,600,54,d,C
27,4,1,1,21,600,55,b,I
27,4,1,1,21,600,56,a,I
27,4,1,1,21,600,57,a,I
27,4,1,1,21,600,58,b,I
27,4,1,1,21,600,59,d,I
27,4,1,1,21,600,60,c,I
27,4,1,1,21,600,61,c,C
27,4,1,1,21,600,62,d,C
27,4,1,1,21,600,63,d,C
27,4,1,1,21,600,64,a,I
27,4,1,1,21,600,65,a,I
27,4,1,1,21,600,66,b,I
27,4,1,1,21,600,67,a,I
27,4,1,1,21,600,68,c,P
27,4,1,1,21,600,69,a,P
29,4,1,1,25,638,1,d,I
29,4,1,1,25,638,2,b,C
29,4,1,1,25,638,3,c,C
29,4,1,1,25,638,4,d,I
29,4,1,1,25,638,5,c,C
29,4,1,1,25,638,6,a,I
29,4,1,1,25,638,7,c,C
29,4,1,1,25,638,8,a,I
29,4,1,1,25,638,9,d,C
29,4,1,1,25,638,10,b,C
29,4,1,1,25,638,11,c,I
29,4,1,1,25,638,12,d,C
29,4,1,1,25,638,13,c,I
29,4,1,1,25,638,14,a,I
29,4,1,1,25,638,15,c,C
29,4,1,1,25,638,16,c,I
29,4,1,1,25,638,17,c,C
